datetime,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66
2016-04-01 02:30:00,0.715555556,0.28,0.644444444,0.533333333,1,0,0.64,0.324444444,0.933333333,0.391111111,0.417777778,0.248888889,0,0,0.835555556,0,0.537777778,0.333333333,0.586666667,0.253333333,0.955555556,0.617777778,0.648888889,0.786666667,0.96,0.688888889,0,1,0.217777778,0.204444444,0.324444444,0.662222222,0.751111111,0.391111111,1,0.617777778,0,0.311111111,1,0.244444444,0.333333333,0.342222222,0.36,1,0.537777778,0.96,0.24,0.262222222,0,0.035555556,0.093333333,0.048888889,0.022222222,0,0.346666667,0,0.266666667,0.075555556,0.742222222,0.515555556,0,0.662222222,0.382222222,0.831111111,0.093333333,0.577777778
2016-04-01 02:45:00,0.871111111,0.191111111,1,0.64,1,0.506666667,0.808888889,0.542222222,0.684444444,0.631111111,0.222222222,0.373333333,0.235555556,0,0.391111111,0,0.404444444,0.488888889,0.871111111,0.635555556,1,0.488888889,0.666666667,0.613333333,0.528888889,0.271111111,0,1,0.071111111,0.133333333,0.351111111,0.626666667,0.693333333,0.662222222,0.484444444,0.115555556,0,0.426666667,1,1,0.186666667,0.697777778,0.711111111,0.822222222,0.657777778,0.475555556,0.813333333,1,0.484444444,0.506666667,0.355555556,0,0.582222222,0.111111111,0.831111111,0.453333333,0.924444444,0,0.44,0.924444444,0,0.608888889,0.413333333,0.457777778,0.893333333,0.493333333
2016-04-01 03:00:00,0.533333333,0.115555556,0.395555556,1,1,0.137777778,0.115555556,0.382222222,0.462222222,0.346666667,0.302222222,0.204444444,0.12,0.813333333,0.871111111,0,0.057777778,0.52,0.888888889,0.266666667,0.057777778,0.471111111,0.657777778,0.533333333,0.897777778,0.933333333,0,0.484444444,0.453333333,0.422222222,0.377777778,1,0.586666667,0.617777778,0.084444444,0,0,0.635555556,1,0.733333333,0.315555556,0.177777778,0.186666667,0.688888889,0.071111111,0.635555556,0.32,0.604444444,0.151111111,0,0.422222222,0,0.466666667,0.4,0.368888889,0,0.751111111,0,0.226666667,0.857777778,0,0.666666667,0,0.746666667,0.617777778,0.533333333
2016-04-01 03:15:00,1,0.275555556,0.124444444,1,0.577777778,0.08,1,0.164444444,0.324444444,0.226666667,0.044444444,0.32,0.333333333,0.777777778,0.604444444,0,0.151111111,0,0.777777778,0.608888889,0.133333333,0.671111111,0.773333333,0.795555556,0.848888889,0.48,0,0.848888889,0.431111111,0.72,0.24,0.982222222,0.502222222,0.72,0.182222222,0.315555556,0,0.915555556,0.502222222,0.68,0,0.262222222,0.973333333,0.871111111,0,0.444444444,0.035555556,0.893333333,0.16,0.342222222,0.195555556,0,0.648888889,0.546666667,0.551111111,0.155555556,0.835555556,0,0.515555556,1,0,0.213333333,0.284444444,1,0.288888889,0.595555556
2016-04-01 03:30:00,0.942222222,0.768888889,0.937777778,0.977777778,0.924444444,0.275555556,0.391111111,0.422222222,0.346666667,0.515555556,0.728888889,0.715555556,0.524444444,0,0.884444444,0,0,0.413333333,0.92,0.297777778,0.231111111,0.64,0.608888889,0.635555556,0.742222222,0.764444444,0.057777778,0.653333333,0.133333333,0.422222222,0.426666667,0.853333333,0.444444444,0.382222222,0.364444444,0.297777778,0.151111111,0.657777778,0.897777778,0.644444444,0.386666667,0.271111111,0.608888889,0.715555556,0.56,0.36,0.262222222,0.786666667,0.342222222,0.533333333,0.284444444,0,0.262222222,0.631111111,0.853333333,0.431111111,0.76,0,0.275555556,0.346666667,0,0.44,0.088888889,0.893333333,0.275555556,0.266666667
2016-04-01 03:45:00,1,0.226666667,0.346666667,0.755555556,0.591111111,0.813333333,1,0.471111111,0.551111111,0.582222222,0.035555556,0.6,0.582222222,0.4,0.426666667,0,0.728888889,0.462222222,0.306666667,0.302222222,0.973333333,0.608888889,1,0.648888889,0.817777778,0.542222222,0,0.715555556,0.324444444,0.444444444,0.8,0.484444444,1,1,0.133333333,0.946666667,0,0.782222222,0.844444444,0.853333333,0.182222222,0.386666667,0.711111111,0.791111111,0.76,0.333333333,0.244444444,1,0.2,0.417777778,0.386666667,0.217777778,0.222222222,0.266666667,0.493333333,0.346666667,1,0.088888889,0.644444444,0.835555556,0.346666667,0.568888889,0.826666667,0.48,1,0.342222222
2016-04-01 04:00:00,0.377777778,0.186666667,0.328888889,0.72,0.951111111,0,0.884444444,0.666666667,0.284444444,0.137777778,0.608888889,0.728888889,1,0.066666667,0.573333333,0.115555556,0.697777778,0.4,0.275555556,0.6,0.186666667,0.026666667,0.764444444,0.471111111,0.306666667,0.248888889,0,1,0.724444444,0.16,0.084444444,0.76,0.066666667,0.524444444,0.675555556,0.902222222,0.466666667,0,0.751111111,0.382222222,0.4,0.382222222,0.457777778,0.377777778,0.275555556,0.528888889,0.177777778,0.253333333,0,0.146666667,0.075555556,0,0.213333333,0.053333333,0.764444444,0.888888889,0.022222222,0.048888889,0.911111111,0.302222222,0.12,0.391111111,0.444444444,0.333333333,1,0.155555556
2016-04-01 04:15:00,1,0,0.222222222,0.284444444,0.791111111,0.404444444,0.648888889,0.466666667,0.44,0.537777778,0.217777778,0,1,0.52,0.244444444,0.702222222,0.542222222,0.097777778,0.631111111,1,0.48,0.773333333,0.768888889,0.337777778,0.56,0,0,0.622222222,0.884444444,0.422222222,0.64,0.862222222,0.24,0.466666667,0.675555556,0,0.417777778,0,0.8,0.493333333,0.311111111,0.675555556,0,0.511111111,0.226666667,0.52,0,0,0.333333333,0.426666667,0.328888889,0.355555556,0.226666667,0.346666667,0.324444444,0.884444444,0.137777778,0,0.524444444,0.173333333,0.671111111,0.777777778,0.648888889,0.142222222,1,0.897777778
2016-04-01 04:30:00,0.72,0.342222222,0.448888889,0.515555556,1,0,0.804444444,0.248888889,0.56,0.515555556,1,0.333333333,1,0,0.457777778,0.408888889,0.666666667,0.373333333,0.417777778,0.622222222,0.088888889,0.56,0.288888889,0.92,0.417777778,0.702222222,0,0.768888889,0.817777778,0.328888889,0.342222222,0.36,0.435555556,0,0.262222222,0,0,0.195555556,0,0.382222222,0.382222222,0.888888889,0.017777778,0.422222222,0.142222222,0.533333333,0.337777778,0.066666667,0.151111111,0,0.435555556,0.284444444,0.462222222,0.128888889,0.471111111,0.688888889,0.395555556,0,0.337777778,0.115555556,0.506666667,0.315555556,0.564444444,0.386666667,0.315555556,0.337777778
2016-04-01 04:45:00,0.733333333,0.662222222,1,0.422222222,0.204444444,0,0.906666667,0.884444444,0.071111111,0.742222222,1,1,1,0.106666667,1,1,0.982222222,0.724444444,1,1,0.591111111,0.862222222,0.537777778,1,0.671111111,0,0,0.471111111,0.737777778,0.666666667,1,1,0.466666667,0.666666667,0.702222222,0.533333333,0.502222222,0.351111111,0.524444444,0.493333333,0.413333333,0.808888889,0.493333333,1,0.617777778,1,0.888888889,1,0.871111111,0.488888889,0.622222222,0.875555556,0.862222222,0.653333333,0.324444444,1,0.853333333,0,0.755555556,0.911111111,0.937777778,0.84,1,0.848888889,0.964444444,0.733333333
