Delivery Date,Hour Ending,day ahead price
2016-04-08,02:00:00,12.60416667
2016-04-08,03:00:00,12.55
2016-04-08,04:00:00,13.2775
2016-04-08,05:00:00,15.285
2016-04-08,06:00:00,18.65166667
2016-04-08,07:00:00,18.765
2016-04-08,08:00:00,19.07333333
2016-04-08,09:00:00,19.95666667
2016-04-08,10:00:00,21.1
2016-04-08,11:00:00,22.38
2016-04-08,12:00:00,24.17166667
2016-04-08,13:00:00,28.09583333
2016-04-08,14:00:00,34.58666667
2016-04-08,15:00:00,45.475
2016-04-08,16:00:00,45.47833333
2016-04-08,17:00:00,33.83666667
2016-04-08,18:00:00,31.74083333
2016-04-08,19:00:00,27.46916667
2016-04-08,20:00:00,25.11583333
2016-04-08,21:00:00,22.63416667
2016-04-08,22:00:00,19.87416667
2016-04-08,23:00:00,18.07666667
2016-04-09,00:00:00,16.35333333
2016-04-09,01:00:00,14.55333333
2016-04-09,02:00:00,13.57833333
2016-04-09,03:00:00,13.475
2016-04-09,04:00:00,13.8175
2016-04-09,05:00:00,16.355
2016-04-09,06:00:00,26.25416667
2016-04-09,07:00:00,24.37666667
2016-04-09,08:00:00,20.09583333
2016-04-09,09:00:00,20.60333333
2016-04-09,10:00:00,21.705
2016-04-09,11:00:00,22.49083333
2016-04-09,12:00:00,23.15666667
2016-04-09,13:00:00,26.0275
2016-04-09,14:00:00,30.5275
2016-04-09,15:00:00,37.43916667
2016-04-09,16:00:00,38.995
2016-04-09,17:00:00,30.0025
2016-04-09,18:00:00,28.41
2016-04-09,19:00:00,24.51916667
2016-04-09,20:00:00,22.74083333
2016-04-09,21:00:00,20.965
2016-04-09,22:00:00,19.07333333
2016-04-09,23:00:00,16.95583333
2016-04-10,00:00:00,15.97333333
2016-04-10,01:00:00,14.63583333
2016-04-10,02:00:00,13.77333333
2016-04-10,03:00:00,13.63166667
2016-04-10,04:00:00,14.09916667
2016-04-10,05:00:00,15.71416667
2016-04-10,06:00:00,18.84333333
2016-04-10,07:00:00,19.43166667
2016-04-10,08:00:00,20.065
2016-04-10,09:00:00,20.385
2016-04-10,10:00:00,21.0675
2016-04-10,11:00:00,22.01583333
2016-04-10,12:00:00,23.47416667
2016-04-10,13:00:00,25.86416667
2016-04-10,14:00:00,30.26
2016-04-10,15:00:00,37.01583333
