datetime,R,B,0,0
2016-04-01 00:00:00,-0.38277255881018285,10.771275289987976,0,0
2016-04-01 00:15:00,-0.38277255881018285,10.771275289987976,0,0
2016-04-01 00:30:00,-0.38277255881018285,10.771275289987976,0,0
2016-04-01 00:45:00,-0.38277255881018285,10.771275289987976,0,0
2016-04-01 01:00:00,-0.4937772853564155,8.080473903452841,0,0
2016-04-01 01:15:00,-0.4937772853564155,8.080473903452841,0,0
2016-04-01 01:30:00,-0.4937772853564155,8.080473903452841,0,0
2016-04-01 01:45:00,-0.4937772853564155,8.080473903452841,0,0
2016-04-01 02:00:00,-0.5762769291855243,7.446591143118687,0,0
2016-04-01 02:15:00,-0.5762769291855243,7.446591143118687,0,0
2016-04-01 02:30:00,-0.5762769291855243,7.446591143118687,0,0
2016-04-01 02:45:00,-0.5762769291855243,7.446591143118687,0,0
2016-04-01 03:00:00,-0.5538837377381988,5.652852212790208,0,0
2016-04-01 03:15:00,-0.5538837377381988,5.652852212790208,0,0
2016-04-01 03:30:00,-0.5538837377381988,5.652852212790208,0,0
2016-04-01 03:45:00,-0.5538837377381988,5.652852212790208,0,0
2016-04-01 04:00:00,-0.3792992020863339,5.999082278079996,0,0
2016-04-01 04:15:00,-0.3792992020863339,5.999082278079996,0,0
2016-04-01 04:30:00,-0.3792992020863339,5.999082278079996,0,0
2016-04-01 04:45:00,-0.3792992020863339,5.999082278079996,0,0
2016-04-01 05:00:00,-0.2352068796928075,14.5137808519752,0,0
2016-04-01 05:15:00,-0.2352068796928075,14.5137808519752,0,0
2016-04-01 05:30:00,-0.2352068796928075,14.5137808519752,0,0
2016-04-01 05:45:00,-0.2352068796928075,14.5137808519752,0,0
2016-04-01 06:00:00,-0.3768880244013775,6.69635642943555,0,0
2016-04-01 06:15:00,-0.3768880244013775,6.69635642943555,0,0
2016-04-01 06:30:00,-0.3768880244013775,6.69635642943555,0,0
2016-04-01 06:45:00,-0.3768880244013775,6.69635642943555,0,0
2016-04-01 07:00:00,-0.5085155693321672,4.689191856912227,0,0
2016-04-01 07:15:00,-0.5085155693321672,4.689191856912227,0,0
2016-04-01 07:30:00,-0.5085155693321672,4.689191856912227,0,0
2016-04-01 07:45:00,-0.5085155693321672,4.689191856912227,0,0
2016-04-01 08:00:00,-0.6213163948645891,4.471787897850694,0,0
2016-04-01 08:15:00,-0.6213163948645891,4.471787897850694,0,0
2016-04-01 08:30:00,-0.6213163948645891,4.471787897850694,0,0
2016-04-01 08:45:00,-0.6213163948645891,4.471787897850694,0,0
2016-04-01 09:00:00,-0.11343736994413088,4.875193477805555,0,0
2016-04-01 09:15:00,-0.11343736994413088,4.875193477805555,0,0
2016-04-01 09:30:00,-0.11343736994413088,4.875193477805555,0,0
2016-04-01 09:45:00,-0.11343736994413088,4.875193477805555,0,0
2016-04-01 10:00:00,-0.5630408244007541,4.026183396360654,0,0
2016-04-01 10:15:00,-0.5630408244007541,4.026183396360654,0,0
2016-04-01 10:30:00,-0.5630408244007541,4.026183396360654,0,0
2016-04-01 10:45:00,-0.5630408244007541,4.026183396360654,0,0
2016-04-01 11:00:00,-0.4532017133270916,3.003343663172383,0,0
2016-04-01 11:15:00,-0.4532017133270916,3.003343663172383,0,0
2016-04-01 11:30:00,-0.4532017133270916,3.003343663172383,0,0
2016-04-01 11:45:00,-0.4532017133270916,3.003343663172383,0,0
2016-04-01 12:00:00,-0.44597240069926625,2.6303122679728657,0,0
2016-04-01 12:15:00,-0.44597240069926625,2.6303122679728657,0,0
2016-04-01 12:30:00,-0.44597240069926625,2.6303122679728657,0,0
2016-04-01 12:45:00,-0.44597240069926625,2.6303122679728657,0,0
2016-04-01 13:00:00,-0.5082392305147809,3.089863859426496,0,0
2016-04-01 13:15:00,-0.5082392305147809,3.089863859426496,0,0
2016-04-01 13:30:00,-0.5082392305147809,3.089863859426496,0,0
2016-04-01 13:45:00,-0.5082392305147809,3.089863859426496,0,0
2016-04-01 14:00:00,-0.5844290690086646,3.135020446192334,0,0
2016-04-01 14:15:00,-0.5844290690086646,3.135020446192334,0,0
2016-04-01 14:30:00,-0.5844290690086646,3.135020446192334,0,0
2016-04-01 14:45:00,-0.5844290690086646,3.135020446192334,0,0
2016-04-01 15:00:00,-0.5581992419530131,2.9875256550195033,0,0
2016-04-01 15:15:00,-0.5581992419530131,2.9875256550195033,0,0
2016-04-01 15:30:00,-0.5581992419530131,2.9875256550195033,0,0
2016-04-01 15:45:00,-0.5581992419530131,2.9875256550195033,0,0
2016-04-01 16:00:00,-0.5195557690580891,3.207067558681998,0,0
2016-04-01 16:15:00,-0.5195557690580891,3.207067558681998,0,0
2016-04-01 16:30:00,-0.5195557690580891,3.207067558681998,0,0
2016-04-01 16:45:00,-0.5195557690580891,3.207067558681998,0,0
2016-04-01 17:00:00,-0.5252063346942375,4.5312250972326735,0,0
2016-04-01 17:15:00,-0.5252063346942375,4.5312250972326735,0,0
2016-04-01 17:30:00,-0.5252063346942375,4.5312250972326735,0,0
2016-04-01 17:45:00,-0.5252063346942375,4.5312250972326735,0,0
2016-04-01 18:00:00,-0.6074555927322106,6.1172489780674395,0,0
2016-04-01 18:15:00,-0.6074555927322106,6.1172489780674395,0,0
2016-04-01 18:30:00,-0.6074555927322106,6.1172489780674395,0,0
2016-04-01 18:45:00,-0.6074555927322106,6.1172489780674395,0,0
2016-04-01 19:00:00,-0.5625755711705754,4.376055107798819,0,0
2016-04-01 19:15:00,-0.5625755711705754,4.376055107798819,0,0
2016-04-01 19:30:00,-0.5625755711705754,4.376055107798819,0,0
