datetime,R0,B0,l0,r0,R1,B1,l1,r1,R2,B2,l2,r2
2016-04-01 00:00:00,-0.054877423443577995,0.9914120604365666,0.01,1.8940654077178773,-0.4327617669072555,1.7073013028372284,1.8940654077178773,3.4088176078769874,-0.02096888204685818,0.34103920046790226,3.4088176078769874,33.01
2016-04-01 00:15:00,-0.054877423443577995,0.9914120604365666,0.01,1.894066535287365,-0.4327617669072555,1.7073013028372284,1.894066535287365,3.4088157458631434,-0.02096888204685818,0.34103920046790226,3.4088157458631434,33.01
2016-04-01 00:30:00,-0.054877423443577995,0.9914120604365666,0.01,1.8940786177202342,-0.4327617669072555,1.7073013028372284,1.8940786177202342,3.4088050393101113,-0.02096888204685818,0.34103920046790226,3.4088050393101113,33.01
2016-04-01 00:45:00,-0.054877423443577995,0.9914120604365666,0.01,1.8940656795485655,-0.4327617669072555,1.7073013028372284,1.8940656795485655,3.408815950950319,-0.02096888204685818,0.34103920046790226,3.408815950950319,33.01
2016-04-01 01:00:00,-0.09762735131959584,0.9944926033195355,0.01,1.3079150358885157,-0.45934426855555927,1.4677523691289995,1.3079150358885157,2.931876201984243,-0.022892926357354793,0.19093044474529677,2.931876201984243,10.0
2016-04-01 01:15:00,-0.09762735131959584,0.9944926033195355,0.01,1.3079100656724756,-0.45934426855555927,1.4677523691289995,1.3079100656724756,2.931874935210968,-0.022892926357354793,0.19093044474529677,2.931874935210968,10.0
2016-04-01 01:30:00,-0.09762735131959584,0.9944926033195355,0.01,1.3079096541376525,-0.45934426855555927,1.4677523691289995,1.3079096541376525,2.931878216809264,-0.022892926357354793,0.19093044474529677,2.931878216809264,10.0
2016-04-01 01:45:00,-0.09762735131959584,0.9944926033195355,0.01,1.3079079021343534,-0.45934426855555927,1.4677523691289995,1.3079079021343534,2.9318694322624883,-0.022892926357354793,0.19093044474529677,2.9318694322624883,10.0
2016-04-01 02:00:00,-0.03924646781789668,0.9811616954474094,0.01,0.85376019204169,-0.409640269095655,1.2974692615030523,0.85376019204169,2.8393133515514015,-0.04659521856058606,0.27541657807636166,2.8393133515514015,8.11
2016-04-01 02:15:00,-0.03924646781789668,0.9811616954474094,0.01,0.8537663846086366,-0.409640269095655,1.2974692615030523,0.8537663846086366,2.8393042222335803,-0.04659521856058606,0.27541657807636166,2.8393042222335803,8.11
2016-04-01 02:30:00,-0.03924646781789668,0.9811616954474094,0.01,0.8537656487592512,-0.409640269095655,1.2974692615030523,0.8537656487592512,2.8393127642614755,-0.04659521856058606,0.27541657807636166,2.8393127642614755,8.11
2016-04-01 02:45:00,-0.03924646781789668,0.9811616954474094,0.01,0.8537644587213586,-0.409640269095655,1.2974692615030523,0.8537644587213586,2.83931339664842,-0.04659521856058606,0.27541657807636166,2.83931339664842,8.11
2016-04-01 03:00:00,-0.4086341395259818,1.2587736890935628,0.46,2.1100000008813296,-0.2930423593968871,1.0327595107526182,2.1100000008813296,3.3455471014789,-0.017670621502291466,0.12981928565879458,3.3455471014789,9.1
2016-04-01 03:15:00,-0.4086341395259818,1.2587736890935628,0.46,2.110201693854331,-0.2930423593968871,1.0327595107526182,2.110201693854331,3.3413955688638026,-0.017670621502291466,0.12981928565879458,3.3413955688638026,9.1
2016-04-01 03:30:00,-0.3792243794301179,1.225547902974139,0.46,2.109999999670524,-0.2241661114888157,0.8288977870707803,2.109999999670524,3.3466021623421427,-0.017670621502291466,0.12981928565879458,3.3466021623421427,9.1
2016-04-01 03:45:00,-0.4086341395259818,1.2587736890935628,0.46,2.1100000000062025,-0.2930423593968871,1.0327595107526182,2.1100000000062025,3.3531063450317737,-0.017670621502291466,0.12981928565879458,3.3531063450317737,9.1
2016-04-01 04:00:00,-0.2711997007981498,1.2080821325171682,1.0,1.8515754107793125,-0.6582918136629273,1.924847171674631,1.8515754107793125,2.3763557240896107,-0.05428700756496822,0.4979876510356611,2.3763557240896107,10.76
2016-04-01 04:15:00,-0.2711997007981498,1.2080821325171682,1.0,1.8516137655198568,-0.6582918136629273,1.924847171674631,1.8516137655198568,2.376333078922656,-0.05428700756496822,0.4979876510356611,2.376333078922656,10.76
2016-04-01 04:30:00,-0.2711997007981498,1.2080821325171682,1.0,1.851584419058238,-0.6582918136629273,1.924847171674631,1.851584419058238,2.376345411386599,-0.05428700756496822,0.4979876510356611,2.376345411386599,10.76
2016-04-01 04:45:00,-0.2711997007981498,1.2080821325171682,1.0,1.851575153782259,-0.6582918136629273,1.924847171674631,1.851575153782259,2.3763551624817265,-0.05428700756496822,0.4979876510356611,2.3763551624817265,10.76
2016-04-01 05:00:00,-0.33263324803060673,1.611366155015528,1.75,2.725876154653592,-0.05271054642511912,0.8479229574400493,2.725876154653592,11.510496916255407,-0.014569537096704926,0.48379260987481404,11.510496916255407,62.87
2016-04-01 05:15:00,-0.33263324803060673,1.611366155015528,1.75,2.7257503368894196,-0.05271054642511912,0.8479229574400493,2.7257503368894196,11.509299139705433,-0.014569537096704926,0.48379260987481404,11.509299139705433,62.87
2016-04-01 05:30:00,-0.30063182646603764,1.5399931609287139,1.75,3.191371382034313,-0.024802822575087126,0.6613507740102379,3.191371382034313,23.88369940603202,-0.007649071360355242,0.2841654561090349,23.88369940603202,62.87
2016-04-01 05:45:00,-0.33263324803060673,1.611366155015528,1.75,2.725873094757571,-0.05271054642511912,0.8479229574400493,2.725873094757571,11.510547369133427,-0.014569537096704926,0.48379260987481404,11.510547369133427,62.87
