6
12
5
81,14,9,8,10,16
7,4,1,6,3,9
2,2,3,1,5,6
7,2,2,2,2,20
9,2,0,1,3,23
37,4,6,14,13,154

99,5,7,9,13,11
2,1,0,2,2,11
5,1,0,2,2,12
5,1,3,1,1,12
9,1,3,1,4,24
27,10,11,12,17,162

119,14,13,8,18,12
7,3,0,1,2,11
7,1,1,1,3,11
6,2,3,4,0,12
11,3,2,3,7,18
34,6,7,9,18,111

144,11,13,23,29,7
9,1,1,2,2,13
11,1,2,2,5,6
7,3,2,0,3,10
17,6,4,1,8,20
40,4,5,4,14,58

180,17,18,10,7,8
12,2,4,2,1,11
18,1,1,3,1,9
11,2,2,2,1,16
10,2,3,2,3,16
29,6,5,5,15,53

212,18,15,6,7,8
12,1,3,2,0,9
12,3,2,1,1,8
4,0,1,3,0,7
4,2,0,0,3,11
15,3,3,2,9,101

187,16,5,11,13,9
6,3,3,2,1,12
4,0,0,1,1,7
8,0,3,2,2,10
5,4,1,5,0,11
24,3,2,5,9,113

170,8,9,10,8,9
5,2,1,2,0,6
6,2,1,1,3,16
6,2,3,3,0,14
4,0,4,4,2,15
18,3,13,12,14,112

159,9,12,9,29,6
8,2,1,1,1,5
9,1,0,0,4,9
14,1,2,4,2,6
19,3,2,4,2,24
35,2,5,7,20,71

145,21,16,7,9,19
12,3,2,1,3,10
8,1,3,1,2,14
6,1,1,1,3,4
10,2,2,2,1,16
17,3,3,5,14,120

28,15,12,5,14,15
3,3,1,3,6,22
1,3,1,2,1,20
6,0,1,0,4,16
7,4,2,2,5,22
43,12,10,15,14,162

41,17,16,8,18,18
2,1,4,3,4,22
3,2,2,5,1,22
7,2,0,0,1,11
11,5,7,0,2,24
44,10,4,8,23,132


104,13,8,9,6,15
4,7,6,4,0,9
7,3,0,3,4,15
6,1,1,0,4,18
10,3,6,1,1,16
29,8,12,8,17,130

121,10,14,12,11,7
7,0,1,2,2,16
5,2,2,0,1,12
3,0,2,1,4,14
7,3,0,1,1,19
32,11,6,11,14,134

130,9,14,13,25,13
5,3,2,2,1,6
12,0,2,4,0,10
9,1,1,1,2,14
11,1,3,1,1,20
36,5,3,13,19,96

130,20,21,14,17,7
14,1,2,0,1,6
7,1,2,1,3,6
11,1,1,3,4,12
19,1,1,3,7,23
33,3,1,4,14,94

171,9,10,6,15,6
8,0,5,1,2,3
11,1,1,3,0,13
8,0,2,2,1,11
4,1,0,4,2,20
22,4,4,9,4,125

157,16,6,11,10,6
6,1,2,2,1,12
3,0,3,3,1,13
7,0,1,2,3,12
6,1,0,1,3,15
21,4,11,6,12,130

123,9,14,9,6,11
3,0,3,3,3,13
9,1,0,2,2,17
5,2,0,2,1,15
8,1,1,1,1,18
20,11,12,8,19,135

122,10,17,11,12,10
8,3,0,0,0,15
5,1,2,0,2,15
2,1,1,0,2,8
9,2,2,1,5,21
37,11,7,4,18,124

191,11,18,18,11,6
13,4,1,0,2,3
11,2,3,1,5,7
4,4,2,2,1,12
11,0,5,3,5,15
34,3,3,5,14,50

218,20,21,4,10,8
10,2,1,0,3,7
10,0,1,1,3,12
6,1,0,0,3,10
14,1,0,3,2,12
32,1,0,3,10,51

106,26,20,8,11,14
7,6,8,2,5,20
10,1,0,3,3,18
5,0,2,2,2,10
13,4,2,3,0,16
20,13,4,5,16,103

68,17,14,8,8,16
9,4,5,3,5,24
12,2,1,0,3,25
6,2,3,3,0,8
8,4,4,2,1,12
27,15,11,8,19,131


174,12,10,14,10,16
4,3,5,3,0,11
10,2,4,4,2,7
10,3,1,0,2,17
9,4,1,1,1,10
35,6,6,7,10,74

229,6,11,11,11,8
7,1,0,0,0,9
2,1,4,3,0,9
8,1,0,2,0,10
8,1,1,3,2,9
27,5,1,7,12,79

128,17,17,21,25,9
7,1,1,1,3,7
4,0,1,1,2,13
9,2,1,4,1,14
10,2,1,3,8,14
34,2,7,4,16,98

222,5,18,14,10,8
7,1,2,2,0,3
17,1,1,3,1,9
8,3,2,2,5,9
15,0,3,1,4,22
38,2,3,1,7,39

284,11,11,9,7,9
8,0,1,3,2,5
14,2,2,0,1,5
9,0,0,0,1,7
5,2,1,1,2,8
11,2,4,4,5,52

225,15,14,8,7,9
15,1,0,3,1,4
8,1,2,1,5,7
6,2,1,1,2,7
7,1,1,1,0,9
12,4,6,4,4,94

237,10,10,12,9,15
6,1,0,1,0,8
5,0,2,2,1,10
11,1,1,2,1,6
6,1,4,2,2,7
24,4,6,3,7,63

210,16,17,10,10,7
8,1,2,4,1,8
11,0,3,2,3,8
9,1,0,2,0,8
7,0,3,1,1,6
22,6,5,3,11,74

278,10,11,8,6,6
3,2,0,1,2,8
11,2,3,1,0,10
15,0,1,0,4,5
8,1,4,4,0,5
22,4,3,8,5,37

311,15,12,10,7,12
7,0,5,3,1,4
12,1,0,2,0,4
7,0,1,2,0,6
5,0,1,1,2,4
11,0,5,0,6,31

266,13,13,6,7,10
3,5,1,0,5,7
12,4,5,3,0,7
6,0,3,1,3,3
12,1,3,1,3,10
17,3,4,5,10,36

125,28,19,9,11,18
16,5,2,1,4,23
10,1,2,1,1,18
12,1,2,0,1,3
14,3,2,1,2,9
25,7,7,9,12,84


166,13,14,7,14,14
9,0,1,3,3,13
12,4,2,3,2,10
8,1,1,2,3,7
20,2,0,3,4,12
27,6,13,5,11,73

277,8,11,6,5,7
4,1,2,0,0,4
10,1,0,0,1,7
10,1,0,2,0,5
6,0,0,3,0,13
21,2,5,4,10,62

209,6,19,20,24,9
4,0,1,1,2,5
4,0,0,3,2,11
10,0,0,1,2,13
6,2,2,5,2,11
20,2,1,6,15,70
