datetime,R0,B0,l0,r0,R1,B1,l1,r1,R2,B2,l2,r2,R3,B3,l3,r3,R4,B4,l4,r4
2016-04-04 00:00:00,0.04585097604526745,84.14464421239984,-150.78,-50.9713713233857,0.07440273699072443,85.6879202179152,-50.9713713233857,3.55,-0.2705588932019814,88.25506680477628,3.55,60.01690505036216,-0.1860792086705938,79.32621596249457,60.01690505036216,199.82470742955468,-0.12767526249218572,64.77360746841433,199.82470742955468,450.78
2016-04-04 00:15:00,0.028808644208959518,55.589951483058755,-113.03,-4.577170563500941,0.010866357415766411,55.50782657610709,-4.577170563500941,3.19,-0.34573368942343463,58.95191630361744,3.19,57.56237961427487,-2.3698588637777744,172.10393891001334,57.56237961427487,62.72085205275351,-0.05997556532708724,29.76946501911561,62.72085205275351,350.02
2016-04-04 00:30:00,0.07304512673708637,26.96971514232568,-200.0,0.55,-0.12895123336171907,25.961120555164506,0.55,19.000573602214985,-0.7533115100699437,37.94277014013323,19.000573602214985,23.679439862181596,-0.6294026608190122,35.04245390978874,23.679439862181596,36.77820544994512,-0.41777848353981795,27.291199083719942,36.77820544994512,63.74
2016-04-04 00:45:00,0.08345824710642175,27.271318655607068,-250.45,-11.94457120249076,-0.1638993270497167,24.313291871368776,-11.94457120249076,0.78,-0.1384891668081019,24.979160320314666,0.78,26.60430678663618,-0.6857610114775499,38.73722436913113,26.60430678663618,47.46612832389815,0.04723848968023769,4.364587667380251,47.46612832389815,335.15
2016-04-04 01:00:00,0,47.400416666666665,-24.9,-12.355684274962726,-0.24736260031423607,47.044647818217385,-12.355684274962726,54.32458540372707,-0.7900309671965748,70.62575290351153,54.32458540372707,71.76436962013625,-0.06623524409622342,20.003165788247006,71.76436962013625,126.82863371098155,-0.09051926186716451,23.083074583148655,126.82863371098155,450.78
2016-04-04 01:15:00,0.023782872662096274,44.669297199994375,-138.44,0.95,-0.12936698200085836,45.281316128522796,0.95,26.694596956026455,-0.8392871782583282,63.93654003387353,26.694596956026455,42.13768331679635,-0.5751987973022821,52.59216788289338,42.13768331679635,64.90984012579884,-0.02310187046020146,16.233400118657173,64.90984012579884,450.78
2016-04-04 01:30:00,0.06455955876628272,36.433837805044085,-18.04,0.95,-0.18545464983693505,37.14174111537744,0.95,22.09000012982458,-0.786164741344501,50.17515993688929,22.09000012982458,41.31444173022548,-0.30346446412567696,30.12920388019712,41.31444173022548,330.3252578771845,-0.30346446412567696,30.12920388019712,330.3252578771845,623.66
2016-04-04 01:45:00,0.04801657616774779,33.40769222123711,-200.0,3.59,-0.14845046857265026,33.95469318740876,3.59,18.01298101766673,-0.6988812653327263,43.85139332968731,18.01298101766673,32.205134440228406,-0.6400498744641696,41.92044980280022,32.205134440228406,47.457802977400874,-0.061255027603259196,15.092873903515141,47.457802977400874,623.66
2016-04-04 02:00:00,0.03175416499756472,42.82115411250833,-150.78,0.37,-0.13863315285161415,43.33866228803458,0.37,32.63569725991446,-1.2223245420718427,77.43576006886197,32.63569725991446,41.248321896914035,-0.3918855629200958,43.343731956243445,41.248321896914035,69.61777265280536,-0.1431238952166097,26.072924707919494,69.61777265280536,185.4
2016-04-04 02:15:00,0.029060768300842962,39.789008291999856,-150.78,3.55,-0.21937651245043735,41.30606606904602,3.55,35.1800000135418,-2.1397307156965257,107.65960588552022,35.1800000135418,41.04101630611442,-0.41593772355338177,37.15041185682815,41.04101630611442,66.67910270199673,-0.0836209129802372,14.874467525816454,66.67910270199673,185.4
2016-04-04 02:30:00,0.03005807099705232,30.114800254239945,-150.78,-7.126194482315268,0.002296781004395091,29.91696790267231,-7.126194482315268,2.93,-0.1897519315763575,30.997253322316674,2.93,28.63601802773639,-1.1804104443807026,58.84856092262415,28.63601802773639,43.76078775791574,-0.19363420071146503,15.741899306195645,43.76078775791574,74.09
2016-04-04 02:45:00,0.036119442367879284,29.24809304288874,-150.78,5.55,-0.18319416521210216,30.24909043733805,5.55,21.60612797472527,-1.4955159766798363,58.36379810202804,21.60612797472527,23.519999931106216,-0.7243095068811805,40.29742842311576,23.519999931106216,43.61694401071359,-0.4828110856992037,29.64443792229997,43.61694401071359,64.39
2016-04-04 03:00:00,0.015529845010422743,31.516886713041373,-150.67,4.211380051854006,0.015529845010422743,31.516886713041373,4.211380051854006,5.55,-0.3816176070127739,34.403107001142935,5.55,41.74875269127429,-0.6565138418084587,44.72205451860909,41.74875269127429,67.89619360316946,0.19476010966620533,-13.076206500049793,67.89619360316946,99.55
2016-04-04 03:15:00,0.015647443124433502,32.12661450123007,-150.67,10.0,-0.36766286636023887,36.50515577428936,10.0,30.565476830932283,-2.1748255164119024,91.74194388416971,30.565476830932283,33.620975724240814,-1.0961290300067672,56.107046091386344,33.620975724240814,42.30448033220303,-0.426636310595675,27.532729153678464,42.30448033220303,63.69
2016-04-04 03:30:00,0.024149373743757956,30.099610180503223,-150.67,-11.895121513780277,0.03469890983337551,30.22541605233478,-11.895121513780277,7.23,-0.3246095883700348,33.383733347437484,7.23,33.170623713584256,-1.7863707159560356,81.24715399545032,33.170623713584256,42.487515642859066,-0.11518684747312558,10.398898043161743,42.487515642859066,72.0
2016-04-04 03:45:00,0.03804415434066032,33.44277816626763,-150.78,5.022582728693648,0.03804415434066032,33.44277816626763,5.022582728693648,8.09,-0.43998081907170616,38.00540779509691,8.09,42.42298639500002,-0.5869475923443577,43.080681108515755,42.42298639500002,127.13221875885273,-0.5869475923443577,43.080681108515755,127.13221875885273,229.4
